0.84048,1.4066,1.0787
6.0619,1.788,1.4732
9.231,1.7027,1.0536
4.9786,1.871,1.0055
6.3357,1.9169,1.0361
11.71,2.7158,0.94426
8.2667,3.3104,0.94973
3.0263,0.65355,2.8011
3.1895,3.506,1.023
1.7632,2.8448,2.4295
6.0544,1.0721,1.9399
1.0197,1.4033,1.9847
1.3038,2.9432,1.5202
3.9158,0.5388,2.576
6.4623,0.55847,0.59563
6.4623,0.6612,0.89508
1.6109,3.6842,0.76393
3.5869,2.5694,0.88197
3.5672,0.93661,0.76284
3.8055,1.4492,0.75956
0,0,0.65027
0,0,0.71803
0,0,0.7388
0,0,1.0077
0,0,1.1388
0,0,1.059
0,0,0.60437
0,0,0.61749
0,0,1.3377
0,0,1.3891
0,0,1.3803
0,0,1.318
