nose,Glabella,eye-left,eyebrow - left,eye-right,eyebrow - right,mouth,Chin,jaw-left,Chin,jaw-right,IQ
0.132693,0.004203,0.001801,0.001201,0.014110,0.002702,0.378265,0.008406,0.020114,0.006605,0.004203,53.000000
0.037819,0.008509,0.016703,0.000630,0.039395,0.000315,0.109991,0.001261,0.000000,0.000315,0.000315,53.000000
0.008824,0.001961,0.003186,0.000245,0.006373,0.000245,0.002206,0.000000,0.000980,0.000000,0.000000,54.000000
0.024045,0.014493,0.000659,0.002635,0.018775,0.018445,0.014493,0.001647,0.000329,0.000988,0.000000,55.000000
0.063203,0.000993,0.021840,0.002647,0.002978,0.000331,0.160159,0.079749,0.001655,0.026803,0.002647,55.000000
0.024739,0.190592,0.058885,0.064111,0.504530,0.047387,0.011498,0.000000,0.000697,0.000000,0.002787,56.000000
0.415127,0.031370,0.006971,0.004183,0.012199,0.003486,0.063437,0.001046,0.001394,0.001046,0.000349,61.000000
0.070296,0.069952,0.102688,0.133012,0.069607,0.090627,0.043074,0.008615,0.007581,0.002757,0.002412,65.000000
0.012799,0.000656,0.000328,0.001641,0.005907,0.002626,0.223170,0.007548,0.001313,0.446341,0.128323,66.000000
0.046254,0.033183,0.006033,0.002514,0.240322,0.069884,0.007039,0.000000,0.002011,0.000503,0.002011,68.000000
0.127749,0.018111,0.012290,0.000970,0.048512,0.011643,0.089586,0.004528,0.002264,0.023286,0.113842,72.000000
0.160801,0.195692,0.118932,0.014563,0.256675,0.012136,0.030340,0.000000,0.000000,0.000000,0.003034,73.000000
0.054592,0.303209,0.366654,0.057543,0.095168,0.000738,0.143121,0.000000,0.068609,0.000000,0.000369,79.000000
0.012151,0.017077,0.466667,0.008210,0.408867,0.003284,0.024631,0.000657,0.000328,0.000657,0.000328,85.000000
0.018479,0.014167,0.208192,0.016939,0.012627,0.005852,0.161072,0.000308,0.000000,0.000308,0.000000,88.000000
0.190263,0.088411,0.081243,0.034349,0.095579,0.024492,0.114994,0.002688,0.001792,0.000597,0.006870,89.000000
0.578539,0.005295,0.001412,0.000000,0.002824,0.000706,0.128839,0.006707,0.008472,0.002471,0.000353,91.000000
0.012264,0.010377,0.003774,0.020440,0.039308,0.056918,0.008491,0.000314,0.000314,0.000314,0.000000,101.000000
0.183036,0.169643,1.004464,0.004464,1.875000,0.004464,0.017857,0.000000,0.004464,0.000000,0.000000,106.000000
0.100683,0.058020,0.207907,0.000569,0.232366,0.001138,0.057167,0.003982,0.000569,0.001706,0.001422,123.000000
