nose,Glabella,eye-left,eyebrow - left,eye-right,eyebrow - right,mouth,Chin,jaw-left,Chin,jaw-right,IQ,ID
0.004301,0.000000,0.000000,0.000000,0.000358,0.000717,0.018638,0.003943,0.002509,0.001792,0.000000,40.000000,5003.000000
0.002935,0.002283,0.001957,0.010111,0.001957,0.001957,0.003588,0.000652,0.001631,0.000652,0.000978,47.000000,1297.000000
0.001428,0.000357,0.001785,0.002499,0.000357,0.001071,0.000357,0.001785,0.000357,0.000000,0.000357,51.000000,4208.000000
0.007955,0.001136,0.000000,0.000000,0.000000,0.001136,0.029924,0.000000,0.000000,0.000379,0.000379,52.000000,13892.000000
0.135782,0.018531,0.005054,0.006402,0.009434,0.005391,0.169474,0.000674,0.002022,0.000000,0.000674,52.000000,3338.000000
0.003065,0.006513,0.008812,0.001149,0.001916,0.000383,0.001149,0.000383,0.000383,0.000000,0.005364,52.000000,3435.000000
0.001983,0.000000,0.000330,0.000000,0.000000,0.000000,0.010245,0.000991,0.000000,0.000000,0.000661,52.000000,10226.000000
0.009573,0.047863,0.191111,0.076581,0.073846,0.045128,0.002393,0.000684,0.000342,0.000342,0.000342,53.000000,3103.000000
0.018059,0.005204,0.005816,0.000306,0.002143,0.000306,0.004285,0.000612,0.000000,0.000000,0.000000,53.000000,1369.000000
0.011544,0.000000,0.001319,0.000330,0.000660,0.000000,0.169195,0.002968,0.000989,0.000000,0.000000,54.000000,3238.000000
0.006190,0.004127,0.007221,0.001719,0.007909,0.000344,0.002751,0.000000,0.000344,0.000000,0.000000,54.000000,16078.000000
0.001655,0.009265,0.003309,0.008273,0.009265,0.008934,0.001655,0.000662,0.006287,0.000000,0.000000,54.000000,15499.000000
0.003980,0.002171,0.000000,0.000000,0.002894,0.000000,0.000724,0.001085,0.000000,0.000000,0.000000,54.000000,13998.000000
0.000334,0.000000,0.000000,0.000668,0.000000,0.000334,0.000334,0.000000,0.000000,0.000000,0.000000,54.000000,3439.000000
0.196530,0.005339,0.000667,0.000000,0.011011,0.000000,0.109109,0.000334,0.001001,0.000000,0.000000,55.000000,3311.000000
0.001586,0.001904,0.000000,0.003490,0.003173,0.009518,0.000635,0.000000,0.000317,0.000317,0.000000,55.000000,15094.000000
0.023404,0.005106,0.000426,0.000000,0.017447,0.006383,0.057021,0.000851,0.000426,0.000851,0.001702,55.000000,4020.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001497,0.000000,0.014068,56.000000,10705.000000
0.000000,0.000000,0.003296,0.000412,0.000000,0.000000,0.000824,0.000412,0.000000,0.000000,0.000000,56.000000,10988.000000
0.057301,0.012427,0.015533,0.028996,0.002761,0.005523,0.079738,0.002416,0.001381,0.001036,0.001036,56.000000,15090.000000
0.003052,0.000305,0.008239,0.003357,0.000305,0.000000,0.001221,0.000000,0.000000,0.000000,0.000000,57.000000,16194.000000
0.018003,0.011784,0.006219,0.004910,0.010475,0.012766,0.011784,0.002291,0.000000,0.000982,0.000327,59.000000,5156.000000
0.120140,0.011559,0.000350,0.000000,0.014011,0.000000,0.448336,0.003152,0.001751,0.001401,0.000000,61.000000,4715.000000
0.000605,0.000302,0.000000,0.000000,0.000302,0.000000,0.026904,0.000907,0.000000,0.016324,0.000302,63.000000,15041.000000
0.002887,0.000866,0.001732,0.000000,0.001443,0.000000,0.026848,0.028002,0.001155,0.062644,0.002598,63.000000,15308.000000
0.100982,0.002104,0.000000,0.000000,0.014727,0.001753,0.057854,0.005961,0.000701,0.003156,0.006311,63.000000,989.000000
0.000686,0.000000,0.000000,0.000000,0.000343,0.000000,0.008919,0.001715,0.000343,0.000343,0.000000,65.000000,15050.000000
0.037229,0.016029,0.058428,0.010341,0.000517,0.002068,0.007756,0.000517,0.003619,0.000000,0.000000,67.000000,7872.000000
0.033171,0.020390,0.004260,0.000000,0.062995,0.000609,0.006391,0.000913,0.000000,0.000000,0.000000,68.000000,3593.000000
0.003840,0.000960,0.000320,0.000320,0.040960,0.001600,0.005760,0.000000,0.000640,0.000000,0.002240,69.000000,7099.000000
0.000342,0.000000,0.000342,0.000000,0.000000,0.000000,0.000342,0.000000,0.000000,0.000000,0.000000,72.000000,942.000000
0.075879,0.004318,0.001851,0.000308,0.044725,0.003085,0.328809,0.001234,0.004627,0.000000,0.007711,73.000000,7255.000000
