2.8232,8.7949,6.1562
49.21,8.6553,7.4916
88.676,9.3655,5.7902
26.025,10.074,5.7277
44.185,12.198,5.8503
120.34,16.957,5.7008
63.217,23.064,5.7025
16.107,5.5162,32.468
29.641,78.357,5.7439
11.54,31.674,16.327
136.91,20.887,13.062
5.9551,8.3393,13.074
8.8111,31.133,9.9526
54.764,4.7906,21.433
120.56,4.9979,4.6927
120.56,4.8203,6.643
20.799,105.57,5.092
27.573,56.827,6.0639
27.664,5.7759,5.526
29.824,11.666,5.5339
0,0,4.9494
0,0,4.956
0,0,5.1987
0,0,7.5661
0,0,12.135
0,0,11.246
0,0,4.7114
0,0,4.8903
0,0,9.0485
0,0,8.0395
0,0,8.0651
0,0,7.9263
