nose,L eye,R eye,mouth,L chin jaw ,R chin jaw ,AGE,ID
0.441420,0.011027,0.015507,0.062715,0.002412,0.001378,14.990000,15079.000000
0.035125,0.003002,0.033924,0.013209,0.001201,0.001501,15.270000,16205.000000
0.141824,0.012893,0.058491,0.087107,0.024843,0.115094,16.460000,15451.000000
0.134058,0.225296,0.153162,0.041173,0.009881,0.010540,16.520000,15575.000000
0.196429,0.062500,0.120536,0.040179,0.017857,0.000000,16.570000,15810.000000
0.055176,0.021047,0.002844,0.137656,0.024460,0.070819,17.000000,7643.000000
0.215331,0.122997,0.551916,0.011498,0.000697,0.002787,17.540000,13939.000000
0.023968,0.068568,0.127731,0.001214,0.000303,0.000000,18.050000,8248.000000
0.325200,0.134890,0.140119,0.134193,0.002788,0.011154,18.140000,16007.000000
0.289725,0.343489,0.077658,0.115890,0.055556,0.000299,18.210000,7666.000000
0.036199,0.038713,0.153846,0.013575,0.001006,0.000503,18.560000,15936.000000
0.027410,0.445334,0.386511,0.023098,0.000924,0.000924,19.250000,16254.000000
0.380013,0.142303,0.286546,0.032342,0.000000,0.003234,19.430000,15737.000000
0.150893,0.003309,0.018531,0.416942,0.029451,0.013898,20.480000,8405.000000
0.183251,0.240722,0.269622,0.066010,0.002627,0.006240,21.590000,16028.000000
0.058281,0.006271,0.227591,0.005164,0.001844,0.001475,21.980000,6761.000000
0.051888,0.019414,0.044476,0.123191,0.000353,0.001765,22.220000,8404.000000
0.521273,0.001261,0.003152,0.115033,0.009770,0.006303,22.670000,16011.000000
0.034788,0.239908,0.019691,0.171644,0.000328,0.000328,24.200000,7332.000000
0.010049,0.001471,0.006373,0.166667,0.334314,0.101471,25.160000,15837.000000
